Department,Page Title,Box Title,Box Subtitle,Box Text,Box Image Url,Box Image Alt,Page URL
International Relations,Alumni,Regular giving, How to support the department's activities,None,https://www.lse.ac.uk/international-relations/assets/images/alumni/graduation-mortarboard-father-747x420-16-9.jpg,graduation-mortarboard-father-747x420-16-9,https://www.lse.ac.uk//international-relations/alumni
International Relations,Alumni,Internships, How alumni support helps our current students,None,https://www.lse.ac.uk/international-relations/assets/images/generic/Busy-open-plan-office-16-9-747-x-420.jpg,Busy open plan office 16-9 747 x 420,https://www.lse.ac.uk//international-relations/alumni
International Relations,Alumni,Department news, Keep up with the latest news from the department,None,https://www.lse.ac.uk/international-relations/assets/images/generic/stack-of-newspapers-747x420-16-9.jpg,stack-of-newspapers-747x420-16-9,https://www.lse.ac.uk//international-relations/alumni
International Relations,Alumni,Public events, All the latest IR public events,None,https://www.lse.ac.uk/international-relations/assets/images/events/John-Mearsheimer-by-Nigel-Stead-LSE-Cropped-747x420.jpg,John_Mearsheimer_by_Nigel_Stead_LSE,https://www.lse.ac.uk//international-relations/alumni
International Relations,Alumni,Podcasts, Catch up with the video and audio podcasts of our events,None,https://www.lse.ac.uk/international-relations/assets/images/generic/podcast-mic-flowers-747x420-16-9.jpg,podcast-mic-flowers-747x420-16-9,https://www.lse.ac.uk//international-relations/alumni
International Relations,Alumni,Follow our new Department page, on LinkedIn,None,https://www.lse.ac.uk/international-relations/assets/images/logos/linkedIn-promo-box-747x420-4-3.jpg,linkedIn-promo-box747x420-4-3,https://www.lse.ac.uk//international-relations/alumni
International Relations,PhD Job Market,PhD recent completions, Find out about our recent graduates and their theses,None,https://www.lse.ac.uk/international-relations/assets/images/generic/topsofbooks-iStock-16-9.jpg,topsofbooks_iStock_16-9,https://www.lse.ac.uk//international-relations/phd-job-market
International Relations,PhD Job Market,IR MPhil/PhD students, Meet our current research students,None,https://www.lse.ac.uk/international-relations/assets/images/lse/LSE-students-from-above-747x420.jpg,LSE_students_from_above_747x420,https://www.lse.ac.uk//international-relations/phd-job-market
International Relations,PhD Job Market,LSE Theses Online, Browse the archive of theses from the IR Department,None,https://www.lse.ac.uk/international-relations/assets/images/generic/Laptop-computer-with-books-pen-and-yellow-legal-pad-16-9-747x420.jpg,"Laptop computer with books, pen and yellow legal pad 16-9 747x420",https://www.lse.ac.uk//international-relations/phd-job-market
International Relations,PhD Job Market,IR Research degree, Find out about our research degree,None,https://www.lse.ac.uk/international-relations/assets/images/generic/fisheye-city-phd-handbook-747-x-420-16-9.jpg,fisheye-city-phd-handbook-747 x 420 16-9,https://www.lse.ac.uk//international-relations/phd-job-market
International Relations,PhD Job Market,Careers, of LSE IR PhD students,None,https://www.lse.ac.uk/international-relations/assets/images/research/job-market-3-corporate-747x420-16-9.jpg,job-market-3-corporate-747x420-16-9,https://www.lse.ac.uk//international-relations/phd-job-market
International Relations,PhD Job Market,From a PhD in IR at LSE to the top of a think tank, Read our blog post interviews with three female PhD alumni who are leaders of think tanks,None,https://www.lse.ac.uk/international-relations/assets/images/misc-news/thinktankblog-747×420px.jpg,thinktankblog-747×420px,https://www.lse.ac.uk//international-relations/phd-job-market
International Relations,PhD Job Market,IR Research Clusters, Find out more about our areas of research,None,https://www.lse.ac.uk/international-relations/assets/images/lse-people/researchers-collage-747x420px-16-9.png,researchers-collage-747x420px-16-9,https://www.lse.ac.uk//international-relations/phd-job-market
International Relations,PhD Job Market,IR Alumni community, Find out more about our alumni community and how to stay involved,None,https://www.lse.ac.uk/international-relations/assets/images/alumni/alumni-arms-round-747x420-16-9.jpg,alumni-arms-round-747x420-16-9,https://www.lse.ac.uk//international-relations/phd-job-market
International Relations,Contact us,Who's who, IR Department contact details,None,https://www.lse.ac.uk/international-relations/assets/images/generic/contact-us-Cropped-747x420.jpg,luis-llerena-15500,https://www.lse.ac.uk//international-relations/contact-us
International Relations,Contact us,Find us, Google map of IR Department location,None,https://www.lse.ac.uk/international-relations/assets/images/generic/sign-up-Cropped-747x420.jpg,Sign up,https://www.lse.ac.uk//international-relations/contact-us
